Rondonia;1.746.227
Acre;880.631
Amazonas;4.281.209
Roraima;716.793
Para;8.664.306
Amapa;802.837
Tocantins;1.577.342
Maranhao;7.010.960
Piaui;3.375.646
Ceara;9.233.656
Rio Grande do Norte;3.446.071
Paraiba;4.145.040
Pernambuco;9.539.029
Alagoas;3.220.104
Sergipe;2.291.077
Bahia;14.850.513
Minas Gerais;21.322.691
Espirito Santo;4.102.129
Rio de Janeiro;17.219.679
Sao Paulo;45.973.194
Parana;11.824.665
Santa Catarina;8.058.441
Rio Grande do Sul;11.229.915
Mato Grosso do Sul;2.901.895
Mato Grosso;3.836.399
Goias;7.350.483
Distrito Federal;2.982.818
